,Dataset,# People,Modelos,NMI,cluster alg,multiview,vgg,resnet,senet
226,lfw,100,S vgg16 kmeans,0.82921539924601,kmeans,S,True,True,True
227,lfw,100,S vgg16 kmeans,0.8392756845450409,kmeans,S,True,True,True
228,lfw,100,S vgg16 kmeans,0.8356745705199973,kmeans,S,True,True,True
229,lfw,100,S vgg16 kmeans,0.8576198570826252,kmeans,S,True,True,True
230,lfw,100,S vgg16 kmeans,0.8607788463295685,kmeans,S,True,True,True
231,lfw,100,S vgg16 kmeans,0.4745391565907703,kmeans,S,True,True,True
232,lfw,100,S vgg16 kmeans,0.8509968995374925,kmeans,S,True,True,True
233,lfw,100,S vgg16 kmeans,0.4062332000849109,kmeans,S,True,True,True
234,lfw,100,S vgg16 kmeans,0.8687237729813393,kmeans,S,True,True,True
235,lfw,100,S vgg16 kmeans,0.8568877645604381,kmeans,S,True,True,True
236,lfw,100,S vgg16 kmeans,0.857115560270973,kmeans,S,True,True,True
237,lfw,100,S vgg16 kmeans,0.8789074895740583,kmeans,S,True,True,True
238,lfw,100,S vgg16 kmeans,0.8169178336246465,kmeans,S,True,True,True
239,lfw,100,S vgg16 kmeans,0.8740919014992777,kmeans,S,True,True,True
240,lfw,100,S vgg16 kmeans,0.8467249457658638,kmeans,S,True,True,True
241,lfw,100,S vgg16 kmeans,0.8969542793140985,kmeans,S,True,True,True
242,lfw,100,S vgg16 kmeans,0.8419359337380437,kmeans,S,True,True,True
243,lfw,100,S vgg16 kmeans,0.8374232824110148,kmeans,S,True,True,True
244,lfw,100,S vgg16 kmeans,0.8514767510261414,kmeans,S,True,True,True
245,lfw,100,S vgg16 kmeans,0.8033712470747317,kmeans,S,True,True,True
246,lfw,100,S vgg16 kmeans,0.8616328681968336,kmeans,S,True,True,True
247,lfw,100,S vgg16 kmeans,0.8627121984598808,kmeans,S,True,True,True
248,lfw,100,S vgg16 kmeans,0.8722777336675089,kmeans,S,True,True,True
249,lfw,100,S vgg16 kmeans,0.9067381901545324,kmeans,S,True,True,True
250,lfw,100,S vgg16 kmeans,0.9144823701517516,kmeans,S,True,True,True
251,lfw,100,S vgg16 kmeans,0.814462505948081,kmeans,S,True,True,True
252,lfw,100,S vgg16 kmeans,0.822298290138174,kmeans,S,True,True,True
253,lfw,100,S vgg16 kmeans,0.859384986048042,kmeans,S,True,True,True
254,lfw,100,S vgg16 kmeans,0.8773558610349546,kmeans,S,True,True,True
255,lfw,100,S vgg16 kmeans,0.872405705196273,kmeans,S,True,True,True
256,lfw,100,S vgg16 kmeans,0.8601808164977319,kmeans,S,True,True,True
257,lfw,100,S vgg16 kmeans,0.437790493899132,kmeans,S,True,True,True
258,lfw,100,S vgg16 kmeans,0.8381953739396247,kmeans,S,True,True,True
259,lfw,100,S vgg16 kmeans,0.7425385889072026,kmeans,S,True,True,True
260,lfw,100,S vgg16 kmeans,0.8766336497077287,kmeans,S,True,True,True
261,lfw,100,S vgg16 kmeans,0.9145976710797274,kmeans,S,True,True,True
262,lfw,100,S vgg16 kmeans,0.8927335301496543,kmeans,S,True,True,True
263,lfw,100,S vgg16 kmeans,0.8087230364100227,kmeans,S,True,True,True
264,celeba,500,S vgg16 kmeans,0.7563983599502956,kmeans,S,True,True,True
265,maskedlfw,50,S vgg16 kmeans,0.5676544422722909,kmeans,S,True,True,True
266,maskedlfw,500,S vgg16 kmeans,0.8386129325530365,kmeans,S,True,True,True
267,maskedlfw,500,S vgg16 kmeans,0.7791103366779716,kmeans,S,True,True,True
268,maskedlfw,500,S vgg16 kmeans,0.7908664164796992,kmeans,S,True,True,True
269,maskedlfw,500,S vgg16 kmeans,0.8247987807536383,kmeans,S,True,True,True
270,maskedlfw,500,S vgg16 kmeans,0.802127978465602,kmeans,S,True,True,True
271,maskedlfw,500,S vgg16 kmeans,0.8298687343222851,kmeans,S,True,True,True
272,maskedlfw,500,S vgg16 kmeans,0.7026320803379369,kmeans,S,True,True,True
273,maskedlfw,500,S vgg16 kmeans,0.820580706530857,kmeans,S,True,True,True
274,maskedlfw,500,S vgg16 kmeans,0.8105570506071522,kmeans,S,True,True,True
275,maskedlfw,500,S vgg16 kmeans,0.7941689564095208,kmeans,S,True,True,True
276,maskedlfw,500,S vgg16 kmeans,0.8104876524430132,kmeans,S,True,True,True
277,maskedlfw,500,S vgg16 kmeans,0.8096274788443114,kmeans,S,True,True,True
278,celeba,500,S vgg16 kmeans,0.7572691443698417,kmeans,S,True,True,True
279,yale,15,S vgg16 kmeans,1.0,kmeans,S,True,True,True
280,yale,15,S vgg16 kmeans,1.0,kmeans,S,True,True,True
281,yale,15,S vgg16 kmeans,1.0,kmeans,S,True,True,True
282,yale,15,S vgg16 kmeans,0.9717970807349464,kmeans,S,True,True,True
283,yale,15,S vgg16 kmeans,1.0,kmeans,S,True,True,True
284,yale,15,S vgg16 kmeans-pca,1.0,kmeans-pca,S,True,True,True
285,celeba,50,S vgg16 kmeans-pca,0.802223804967342,kmeans-pca,S,True,True,True
286,celeba,50,S vgg16 kmeans-pca,0.788711830089454,kmeans-pca,S,True,True,True
287,celeba,50,S vgg16 kmeans-pca,0.8573580076927266,kmeans-pca,S,True,True,True
288,celeba,50,S vgg16 kmeans-pca,0.8396992055095531,kmeans-pca,S,True,True,True
289,celeba,50,S vgg16 kmeans-pca,0.8116325103760225,kmeans-pca,S,True,True,True
290,celeba,50,S vgg16 kmeans-pca,0.7863555358881514,kmeans-pca,S,True,True,True
291,celeba,50,S vgg16 kmeans-pca,0.7864413814591659,kmeans-pca,S,True,True,True
292,celeba,50,S vgg16 kmeans-pca,0.7939092365923008,kmeans-pca,S,True,True,True
293,celeba,50,S vgg16 kmeans-pca,0.8060308670625217,kmeans-pca,S,True,True,True
294,celeba,50,S vgg16 kmeans-pca,0.8300580689131849,kmeans-pca,S,True,True,True
295,celeba,50,S vgg16 kmeans-pca,0.7766417802712373,kmeans-pca,S,True,True,True
296,celeba,50,S vgg16 kmeans-pca,0.8316576522461763,kmeans-pca,S,True,True,True
297,celeba,50,S vgg16 kmeans-pca,0.8079177213639249,kmeans-pca,S,True,True,True
298,celeba,50,S vgg16 kmeans-pca,0.7976829224973225,kmeans-pca,S,True,True,True
299,celeba,50,S vgg16 kmeans-pca,0.8380305674435903,kmeans-pca,S,True,True,True
300,celeba,50,S vgg16 kmeans-pca,0.8120222451865089,kmeans-pca,S,True,True,True
301,celeba,50,S vgg16 kmeans-pca,0.8339141093331134,kmeans-pca,S,True,True,True
302,celeba,50,S vgg16 kmeans-pca,0.7969463656801407,kmeans-pca,S,True,True,True
303,celeba,50,S vgg16 kmeans-pca,0.8068415637494739,kmeans-pca,S,True,True,True
304,celeba,50,S vgg16 kmeans-pca,0.7937534671888449,kmeans-pca,S,True,True,True
305,celeba,50,S vgg16 kmeans-pca,0.8080281137541027,kmeans-pca,S,True,True,True
306,celeba,50,S vgg16 kmeans-pca,0.8288981502508201,kmeans-pca,S,True,True,True
307,celeba,50,S vgg16 kmeans-pca,0.8290210633884681,kmeans-pca,S,True,True,True
308,celeba,50,S vgg16 kmeans-pca,0.7929071993287783,kmeans-pca,S,True,True,True
309,celeba,50,S vgg16 kmeans-pca,0.8092222154239326,kmeans-pca,S,True,True,True
310,celeba,50,S vgg16 kmeans-pca,0.8007611618423104,kmeans-pca,S,True,True,True
311,celeba,50,S vgg16 kmeans-pca,0.8369783263904039,kmeans-pca,S,True,True,True
312,celeba,50,S vgg16 kmeans-pca,0.8160773194681865,kmeans-pca,S,True,True,True
313,celeba,50,S vgg16 kmeans-pca,0.8239679324035952,kmeans-pca,S,True,True,True
314,celeba,50,S vgg16 kmeans-pca,0.8494050947254489,kmeans-pca,S,True,True,True
315,celeba,50,S vgg16 kmeans-pca,0.8020296395705285,kmeans-pca,S,True,True,True
316,celeba,50,S vgg16 kmeans-pca,0.801385904632876,kmeans-pca,S,True,True,True
317,celeba,50,S vgg16 kmeans-pca,0.8152722224776094,kmeans-pca,S,True,True,True
318,celeba,50,S vgg16 kmeans-pca,0.8217789919588262,kmeans-pca,S,True,True,True
319,celeba,50,S vgg16 kmeans-pca,0.7963724724887357,kmeans-pca,S,True,True,True
320,celeba,50,S vgg16 kmeans-pca,0.804038133120784,kmeans-pca,S,True,True,True
321,celeba,50,S vgg16 kmeans-pca,0.8202781096620061,kmeans-pca,S,True,True,True
322,celeba,50,S vgg16 kmeans-pca,0.8217646613176189,kmeans-pca,S,True,True,True
323,celeba,50,S vgg16 kmeans-pca,0.7956354110940113,kmeans-pca,S,True,True,True
324,celeba,50,S vgg16 kmeans-pca,0.8078012708050277,kmeans-pca,S,True,True,True
325,celeba,50,S vgg16 kmeans-pca,0.8045837932430782,kmeans-pca,S,True,True,True
326,celeba,50,S vgg16 kmeans-pca,0.7775513851770773,kmeans-pca,S,True,True,True
327,celeba,50,S vgg16 kmeans-pca,0.8361642643442111,kmeans-pca,S,True,True,True
328,celeba,50,S vgg16 kmeans-pca,0.8071877803638715,kmeans-pca,S,True,True,True
329,celeba,50,S vgg16 kmeans-pca,0.8291047439630322,kmeans-pca,S,True,True,True
